calaccess_committee_id,committee_name,prop_count
1266181,NO ON 68 & 70 - GOVERNOR SCHWARZENEGGER'S COMMITTEE FOR FAIR SHARE GAMING AGREEMENTS,2
1266307,CALIFORNIA ORGANIZATION OF POLICE & SHERIFFS (COPS) TO SAVE THREE STRIKES: NO ON 66,1
1266426,"CALIFORNIANS FOR ELECTION ACCOUTABILITY, NO ON 62",1
1266690,"FIX THREE STRIKES - YES ON 66, A COALITION OF JUSTICE ADVOCATES, LABOR ORGANIZATIONS AND CHURCH LEADERS",1
1266931,"COMMITTEE TO PRESERVE VOTER CHOICE, YES ON 60 & NO ON 62",1
1267017,DOCTORS PATIENTS AND TAXPAYERS FOR FISCAL RESPONSIBILITY - NO ON 71,1
1267337,YES ON 66,1
1267433,"COMMITTEE FOR AN INDEPENDENT VOICE & INDEPENDENT VOTERS FOR AN OPEN PRIMARY, YES ON 62",1
1267628,NO ON PROPOSITION 63; SPONSORED BY THE NATIONAL TAX LIMITATION COMMITTEE,1
1267905,NO ON 62,1
1268971,"CALIFORNIANS AGAINST LOAN AND CLONE, NO ON PROP 71 - SPONSORED BY THE CATHOLIC COMMON GOOD FOUNDATION OF CALIFORNIA",1
1269307,"UNITE HERE, AFL- CIO, NO ON PROPOSITIONS 68 AND 70 COMMITTEE",2
1270005,POWERPAC.ORG FIX 3 STRIKES COMMITTEE (YES ON PROPOSITION 66),1
1270479,"PUBLIC HEALTH WARNING: NO ON 64, A COALITION OF ENVIRONMENTAL, PUBLIC HEALTH AND CONSUMER GROUPS, REGISTERED NURSES, AND ENVIRONMENTAL AND CONSUMER ATTORNEYS",1
1270533,"STOP UNLIMITED CASINOS - NO ON 70, A COALITION OF BUSINESS LABOR AND GAMING",1
1270683,"SMALL BUSINESS ACTION COMMITTEE PAC, NO ON 30/YES ON 32, CITIZENS FOR REFORMING SACRAMENTO",2
1270683,"SMALL BUSINESS ACTION COMMITTEE PAC, YES ON 20 & 26, NO ON 25 & 27",4
1270705,NO PROP 63 COMMITTEE,1
1271457,PROGRESSIVE ALLIANCE AGAINST PROP. 71,1
1271520,FOCUS ON THE FAMILY CALIFORNIA COMMITTEE AGAINST PROPOSITION 71,1
1272719,CONSERVATION ACTION FUND,1
1272719,CONSERVATION ACTION FUND - YES ON PROPOSITION 1 AND 2 - SPONSORED BY CONSERVATION ORGANIZATIONS,2
1273022,"CITIZENS TO SAVE CALIFORNIA, A COALITION OF BUSINESS & TAXPAYER ORGANIZATIONS TO REFORM CALIFORNIA GOVERNMENT AND POLITICS, YES ON PROPOSITIONS 74 & 76",2
1273648,NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS ISSUES PAC - YES ON 30,1
1273845,"CALIFORNIANS TO STOP HIGHER TAXES, A COALITION OF BUSINESS & TAXPAYER ORGANIZATIONS",1
1273998,"ALLIANCE FOR A BETTER CALIFORNIA, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS",2
1274157,"CALIFORNIA RETAILERS ASSOCIATION ISSUES COMMITTEE, A COMMITTEE TO SUPPORT PROPOSITION 30 AND PROMOTE RETAILERS' INTERESTS IN EDUCATION AND PUBLIC SAFETY",1
1274444,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA CALIFORNIA INITIATIVE FUND,2
1274465,"YES ON PROP. 81 - CALIFORNIANS FOR LITERACY AND COMMUNITY LIBRARIES, SUPPORTED BY THE CALIFORNIA LIBRARY ASSOCIATION",1
1274538,HOPE 2012 -- YES ON PROP. 29 -- CALIFORNIANS FOR A CANCER CURE,1
1274538,LEADERSHIP CALIFORNIA,5
1275062,"CALIFORNIANS FOR FAIR REDISTRICTING, YES ON PROPOSITION 77",1
1275069,"COALITION FOR EMPLOYEE RIGHTS, YES ON PROPOSITION 75, WITH MAJOR FUNDING FROM SBAC-PAC AND CALIFORNIA REPUBLICAN PARTY",1
1275071,"CALIFORNIANS FOR FAIR ELECTIONS, YES ON PROPOSITION 77, WITH MAJOR FUNDING FROM CALIFORNIA BUSINESS PAC AND SBAC - PAC",1
1275570,CALIFORNIANS FOR AFFORDABLE PRESCRIPTIONS - YES ON PROPOSITION 78 SPONSORED BY PHARMACEUTICAL REASEARCH AND MANUFACTURERS OF AMERICA,1
1276142,CAMPAIGN FOR TEEN SAFETY - NO ON 4 - PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA,1
1276142,CAMPAIGN FOR TEEN SAFETY - NO ON 85 - A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA,2
1276320,NO ON 77 - CALIFORNIANS FOR FAIR REPRESENTATION,1
1276681,AMERICAN CIVIL RIGHTS COALITION COMMITTEE,1
1277423,"CAMPAIGN FOR CHILD SAFETY 2006 - JESSICA'S LAW, YES ON 83",1
1277456,COMMITTEE TO PROTECT CALIFORNIA'S FUTURE,4
1277460,"TEACHERS, FIREFIGHTERS, AND LAW ENFORCEMENT FOR PAYCHECK PROTECTION, YES ON 75, A COALITION OF TAXPAYER ASSOCIATIONS",1
1277670,"WORKING FAMILIES FOR FASTER COMMUTES, CLEANER AIR CALIFORNIA LABOR FEDERATION",1
1277747,"NO ON 75, A COALITION OF REAL NURSES, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, LAW ENFORCEMENT, BUILDING TRADES, STATE EMPLOYEES AND PUBLIC EMPLOYEES OPPOSED TO PAYCHECK DECEPTION",1
1277766,"NO ON 76, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS OPPOSED TO SCHOOL CUTS",1
1277769,"NO ON 75, EDUCATORS, FIREFIGHTERS, SCHOOL EMPLOYEES, HEALTH CARE GIVERS AND LABOR ORGANIZATIONS OPPOSED TO PAYCHECK DECEPTION",1
1277887,CALIFORNIANS FOR RELIABLE ELECTRICITY - NO ON 80 - ENERGY & MANUFACTURERS,1
1277914,"NO ON 74, TEACHERS AND SCHOOL BOARD MEMBERS FOR QUALITY EDUCATION",1
1277917,CALIFORNIANS AGAINST THE WRONG PRESCRIPTION - NO ON PROPOSITION 79 SPONSORED BY PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,1
1278055,"MORE POWER THROUGH CHOICE - NO ON PROPOSITION 80, SPONSORED BY ALLIANCE FOR RETAIL MARKETS",1
1278256,"YES ON PROPOSITION 86 - A COALITION OF HEALTH ORGANIZATIONS PROMOTING DISEASE RESEARCH, TOBACCO CONTROL, EMERGENCY CARE AND CHILDREN'S HEALTH SERVICES",1
1278872,"NO SPECIAL ELECTION - 41ST AD FIGHTING PROPOSITIONS 73, 74, 75, 76 AND 78",5
1278878,"CALIFORNIA PARENTS' RIGHTS COALITION-YES ON 73-A PROJECT OF CALIFORNIA PROLIFE COUNCIL, INC.",1
1279270,"YES ON 79 & NO ON 78, A COALITION OF CONSUMER ORGANIZATIONS FOR AFFORDABLE PRESCRIPTION DRUGS",1
1279272,"YES ON 80 - LIGHTS ON CALIFORNIA, A COALITION OF CONSUMER GROUPS AND LABOR UNIONS",1
1279283,"ACTIONIMPACT.ORG, A COALITION OF BUSINESSES AND TAXPAYERS AGAINST PROP 76",1
1279513,"A COALITION OF LEGAL EXPERTS, FILMMAKERS, BUSINESSMEN, AND WORKING PEOPLE. MAJOR FUNDING BY SHANGRI-LA ENTERTAINMENT, LLC & AMERICAN FAMILY VOICES - NO ON 77",1
1279632,SOUTHERN CALIFORNIANS FOR JESSICA'S LAW - COMMITTEE FOR PROPOSITION 83,1
1279636,CALIFORNIANS FOR CLEAN AIR,1
1279790,"REDISTRICT CALIFORNIA - YES ON 77, WITH MAJOR FUNDING PROVIDED BY STEVE POIZNER, POIZNER FOR INSURANCE COMMISSIONER & CALBUSPAC",1
1279891,"COMMITTEE TO PROTECT WORKERS' VOICE-CARPENTERS, LABORERS AND OPERATING ENGINEERS AGAINST 75",1
1279937,"REFORM CALIFORNIA, YES ON 74, 75 & 76, WITH MAJOR FUNDING BY SHELDON G. ADELSON",3
1279997,FOR JUDICIAL RESTRAINT - NO ON 77,1
1280060,PARENTS FOR PROP. 73,1
1280140,"CALIFORNIANS AGAINST ARNOLD'S SPECIAL INTEREST ELECTION - NO ON 73, 74, 75, 76, 77 AND 78 AND YES ON 79 AND 80, SPONSORED BY WORKING ASSETS AND BALLOT INITIATIVE STRATEGY CENTER",8
1280232,"CALIFORNIANS FOR FAMILY RIGHTS, YES ON PROP. 73, SPONSORED BY CATHOLIC COMMON GOOD FOUNDATION OF CALIF., INC.",1
1280288,NO ON PROPOSITION 73: SPONSORED BY FEMINIST MAJORITY FOUNDATION,1
1280304,"NO ON 73, A PROJECT OF AMERICAN CIVIL LIBERTIES UNION OF NORTHERN CALIFORNIA",1
1280318,SOUTHERN COMMITTEE TO PROTECT WORKERS' VOICE - CARPENTERS AND LABORERS AGAINST 75,1
1280726,"NONPROFITS FOR PRESCHOOL, SPONSORED BY PRESCHOOL CALIFORNIA, A PROJECT OF CIF OF THE SAN FRANCISCO FOUNDATION - YES OF PROP. 82",1
1280778,COMMITTEE FOR AN INDEPENDENT VOICE - YES ON 77!,1
1280846,"STEINBERG'S NO ON 75 COMMITTEE, DARRELL",1
1280882,"HAYASHI'S NO ON 74,75 76 COMMITTEE, MARY",3
1280977,"ASIAN PACIFIC AMERICANS FOR AN INFORMED CALIFORNIA, SPONSORED BY THE ASIAN LAW CAUCUS, A COMMITTEE AGAINST PROPOSITIONS 73, 74, 75, 76, AND 77",5
1281134,EARLY CARE AND EDUCATION FOR PRESCHOOL FOR ALL,1
1281170,"NO ON 74, 75: FINANCED BY COUNCIL PRESIDENT ALEX PADILLA COMMITTEE",4
1281227,BIOTECHNOLOGY INDUSTRY ORGANIZATION COMMITTEE AGAINST PROPOSITION 79,1
1281358,COMMON CAUSE COMMITTEE FOR PROPOSITION 77,1
1281871,COMMITTEE FOR CLEAN WATER AND COASTAL PROTECTION,1
1282095,"PHYSICIANS FOR COMPASSIONATE CARE OF CALIFORNIA, INC.",1
1282131,"STOP THE REINER INITIATIVE - NO ON 82, A COALITION OF EDUCATORS, BUSINESS AND TAXPAYER ORGANIZATIONS",1
1282321,"TORLAKSON'S INVEST IN CALIFORNIA A BALLOT MEASURE COMMITTEE TO SUPPORT PROPOSITION 51, SUPERINTENDENT TOM",1
1282352,"YES ON 87, CALIFORNIANS FOR CLEAN ENERGY, A COALITION OF CONSUMER, PUBLIC HEALTH AND ENVIRONMENTAL ORGANIZATIONS, SCIENTISTS AND BUSINESS LEADERS",1
1282414,"CALIFORNIANS AGAINST HIGHER TAXES - NO ON 87, A COALITION OF TAXPAYERS, EDUCATORS, PUBLIC SAFETY OFFICIALS, BUSINESSES, ENERGY PRODUCERS",1
1282453,"YES ON PROPOSITION 92, CAS FOR IMPROVING COMMUNITY COLLEGES, A COALITION OF EDUCATORS AND COMMUNITY COLLEGE ORGANIZATIONS",1
1282482,CALIFORNIANS TO IMPROVE TRAFFIC NOW - NO ON 91,1
1282482,CONSTRUCTION & LABOR FOR 1A AND 1B,2
1282993,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL UNION 569 - NO ON PROP 75,1
1283442,"CALIFORNIA RETIRED TEACHERS ASSOCIATION COMMITTEE, A COMMITTEE FOR PROPOSITION 30, SPONSORED BY THE CALIFORNIA RETIRED TEACHERS ASSOCIATION",1
1283698,"LAW ENFORCEMENT LEADERS FOR QUALITY PRESCHOOL - YES ON 82, SPONSORED BY FIGHT CRIME: INVEST IN KIDS",1
1283706,"YES ON 88: TAXPAYERS FOR BETTER SCHOOLS AND SMALLER CLASSES, SPONSORED BY EDVOICE, INC.",1
1283731,"PROTECT OUR HOMES COALITION, IN SUPPORT OF PROTECTION OF PRIVATE PROPERTY FROM GOVERNMENT ACQUISITION, SPONSORED BY THE FUND FOR DEMOCRACY, WITH SUPPORT OF ADVOCATES FOR PRIVATE PROPERTY RIGHTS.",1
1283738,"SACRAMENTO PRE-SCHOOL FOR ALL, COMMITTEE FOR PROPOSITION 82, KEVIN MCCARTHY -  SACRAMENTO CITY COUNCILMEMBER",1
1285334,"NO 98/YES 99 - A COMMITTEE OF CITY AND COUNTY ASSOCIATIONS, TAXPAYERS AND ENVIRONMENTAL GROUPS, LEAGUE OF CALIFORNIA CITIES, CALIFORNIANS FOR NEIGHBORHOOD PROTECTION, COALITION OF CONSERVATIONISTS",2
